info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_0.0	27.51	150.35	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_1_beta_0.0	32.9799999997	182.88	0	71	72	1803	1807	79	231	712	374	1433	0.00583048919226	1.0	True
exc_2_beta_0.0	38.7400000002	181.35	0	71	72	1803	1811	79	231	712	378	1433	0.00526166097838	1.0	True
exc_3_beta_0.0	38.5800000001	194.93	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_4_beta_0.0	39.03	185.52	0	71	72	1803	1806	79	231	712	373	1433	0.00597269624573	1.0	True
exc_5_beta_0.0	38.77	177.49	0	71	72	1803	1808	79	231	712	375	1433	0.00568828213879	1.0	True
exc_6_beta_0.0	44.8	229.36	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	0.996527777778	True
exc_7_beta_0.0	50.1799999999	233.53	0	71	72	1803	1807	79	231	712	374	1433	0.00583048919226	1.0	True
exc_8_beta_0.0	54.5800000001	292.19	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_9_beta_0.0	57.4800000002	271.92	0	71	72	1803	1808	79	231	712	375	1433	0.00568828213879	1.0	True
exc_10_beta_0.0	56.3599999999	274.87	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_11_beta_0.0	55.1299999999	243.24	0	71	72	1803	1807	79	231	712	374	1433	0.00583048919226	1.0	True
exc_12_beta_0.0	48.45	237.19	0	71	72	1803	1806	79	231	712	373	1433	0.00597269624573	1.0	True
exc_13_beta_0.0	48.8400000001	254.03	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_14_beta_0.0	57.7100000002	275.85	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_15_beta_0.0	50.9999999998	238.23	0	71	72	1803	1806	79	231	712	373	1433	0.00597269624573	1.0	True
exc_16_beta_0.0	44.1199999999	229.82	0	71	72	1803	1806	79	231	712	373	1433	0.00597269624573	1.0	True
exc_17_beta_0.0	44.55	221.07	0	71	72	1803	1810	79	231	712	377	1433	0.00540386803185	1.0	True
exc_18_beta_0.0	44.73	224.41	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_0_beta_0.05	44.3900000001	45985.61	0	null	null	null	null	null	231	null	null	null	null	null	False
