info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_0.0	0.10999999987	2.47999999998	0	13	14	65	68	11	11	26	37	31	-0.670886075949	0.973214285714	True
exc_1_beta_0.0	0.10999999987	2.87999999989	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_2_beta_0.0	0.110000000102	3.35000000009	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_3_beta_0.0	0.110000000102	2.87999999989	0	13	14	65	69	11	11	26	37	32	-0.677215189873	1.0	True
exc_4_beta_0.0	0.110000000102	3.53000000026	0	13	14	65	69	11	11	26	37	32	-0.677215189873	1.0	True
exc_5_beta_0.0	0.110000000102	2.04999999981	0	13	14	65	69	11	11	26	37	32	-0.677215189873	1.0	True
exc_6_beta_0.0	0.0699999998324	4.5299999998	0	13	14	65	68	11	11	26	36	32	-0.670886075949	1.0	True
exc_7_beta_0.0	0.10999999987	3.2799999998	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.973214285714	True
exc_8_beta_0.0	0.10999999987	1.72999999998	0	13	14	65	68	11	11	26	36	32	-0.670886075949	1.0	True
exc_9_beta_0.0	0.0700000000652	3.3899999999	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_10_beta_0.0	0.110000000102	2.57000000007	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_11_beta_0.0	0.110000000102	5.2899999998	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_0_beta_0.05	0.10999999987	4.40000000014	0	13	13	65	66	11	11	26	35	31	-0.487341772152	0.980769230769	True
exc_1_beta_0.05	0.170000000158	6.90000000014	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_2_beta_0.05	0.110000000102	9.3600000001	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_3_beta_0.05	0.10999999987	3.34000000008	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_4_beta_0.05	0.0800000000745	5.08000000007	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_5_beta_0.05	0.100000000093	6.2100000002	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_6_beta_0.05	0.10999999987	2.56000000006	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
