info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_0.0	0.0600000000559	0.139999999898	0	13	14	65	68	11	11	26	36	32	-0.670886075949	0.982142857143	True
exc_1_beta_0.0	0.0600000000559	0.139999999898	0	13	14	65	69	11	11	26	38	31	-0.677215189873	1.0	True
exc_2_beta_0.0	0.0600000000559	0.120000000112	0	13	14	65	69	11	11	26	38	31	-0.677215189873	1.0	True
exc_3_beta_0.0	0.0400000000373	0.120000000112	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_4_beta_0.0	0.0399999998044	0.119999999879	0	13	14	65	68	11	11	26	37	31	-0.670886075949	1.0	True
exc_5_beta_0.0	0.0400000000373	0.119999999879	0	13	14	65	69	11	11	26	36	33	-0.677215189873	0.991071428571	True
exc_6_beta_0.0	0.0600000000559	0.14000000013	0	13	14	65	68	11	11	26	37	31	-0.670886075949	1.0	True
exc_7_beta_0.0	0.0600000000559	0.14000000013	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.973214285714	True
exc_8_beta_0.0	0.059999999823	0.139999999898	0	13	14	65	69	11	11	26	36	33	-0.677215189873	0.988095238095	True
exc_9_beta_0.0	0.0600000000559	0.14000000013	0	13	14	65	68	11	11	26	36	32	-0.670886075949	1.0	True
exc_10_beta_0.0	0.0600000000559	0.120000000112	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_11_beta_0.0	0.0600000000559	0.119999999879	0	13	14	65	69	11	11	26	38	31	-0.677215189873	1.0	True
exc_0_beta_0.05	0.0600000000559	0.260000000009	0	13	13	65	66	11	11	26	35	31	-0.487341772152	0.980769230769	True
exc_1_beta_0.05	0.059999999823	0.199999999953	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_2_beta_0.05	0.059999999823	0.179999999935	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
