info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_0.0	0.0399999998044	1.5299999998	0	13	14	65	68	11	11	26	36	32	-0.670886075949	0.982142857143	True
exc_1_beta_0.0	0.0500000000466	0.0600000000559	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_2_beta_0.0	0.0300000000279	0.0500000000466	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_3_beta_0.0	0.0600000000559	0.0700000000652	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_4_beta_0.0	0.0300000000279	0.0700000000652	0	13	14	65	68	11	11	26	37	31	-0.670886075949	1.0	True
exc_5_beta_0.0	0.0499999998137	0.0699999998324	0	13	14	65	68	11	11	26	37	31	-0.670886075949	1.0	True
exc_6_beta_0.0	0.0399999998044	0.059999999823	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_7_beta_0.0	0.0399999998044	0.059999999823	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.973214285714	True
exc_8_beta_0.0	0.0300000000279	0.0600000000559	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_9_beta_0.0	0.0300000002608	0.070000000298	0	13	14	65	68	11	11	26	36	32	-0.670886075949	1.0	True
exc_10_beta_0.0	0.0300000000279	0.0600000000559	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_11_beta_0.0	0.0300000002608	0.0600000000559	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_0_beta_0.05	0.0400000000373	0.0700000000652	0	13	13	65	66	11	11	26	35	31	-0.487341772152	0.980769230769	True
exc_1_beta_0.05	0.0499999998137	0.0600000000559	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_2_beta_0.05	0.0500000000466	0.0700000000652	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_3_beta_0.05	0.0499999998137	0.059999999823	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_4_beta_0.05	0.0600000000559	0.0800000000745	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_5_beta_0.05	0.0300000000279	0.0700000000652	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_6_beta_0.05	0.0300000000279	0.0600000000559	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_7_beta_0.05	0.0400000000373	0.0700000000652	0	13	13	65	65	11	11	26	34	31	-0.481012658228	0.974358974359	True
exc_8_beta_0.05	0.0499999998137	0.0799999998417	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_9_beta_0.05	0.0500000000466	0.0600000000559	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_10_beta_0.05	0.0299999997951	0.059999999823	0	13	13	65	65	11	11	26	36	29	-0.481012658228	0.967948717949	True
exc_11_beta_0.05	0.0400000000373	0.0600000000559	0	13	13	65	66	11	11	26	35	31	-0.487341772152	0.980769230769	True
exc_0_beta_0.1	0.0499999998137	0.0699999998324	0	13	13	65	66	11	11	26	35	31	-0.487341772152	0.980769230769	True
exc_1_beta_0.1	0.0400000000373	0.0600000000559	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_2_beta_0.1	0.0400000000373	0.0699999998324	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_3_beta_0.1	0.0500000000466	0.0700000000652	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_4_beta_0.1	0.0300000000279	0.0700000000652	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_5_beta_0.1	0.0300000000279	0.0600000000559	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_6_beta_0.1	0.0300000000279	0.0600000000559	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_7_beta_0.1	0.0300000000279	0.0700000000652	0	13	13	65	65	11	11	26	34	31	-0.481012658228	0.974358974359	True
exc_8_beta_0.1	0.0499999998137	0.0800000000745	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_9_beta_0.1	0.0300000000279	0.0600000000559	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
