info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_0.0	56.4100000001	209.46	0	71	72	8769	8772	493	56	3946	8168	604	0.943609387122	1.0	True
exc_1_beta_0.0	66.0900000001	231.98	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994791666667	True
exc_2_beta_0.0	66.6299999999	255.29	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994212962963	True
exc_3_beta_0.0	65.4299999999	260.49	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.99537037037	True
exc_4_beta_0.0	69.3199999998	261.59	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994791666667	True
exc_5_beta_0.0	84.53	354.58	0	71	72	8769	8774	493	56	3946	8169	605	0.943601305922	0.996527777778	True
exc_6_beta_0.0	96.3499999996	366.68	0	71	72	8769	8773	493	56	3946	8168	605	0.943605346522	0.996527777778	True
exc_7_beta_0.0	95.03	359.25	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994212962963	True
exc_8_beta_0.0	96.3	359.03	0	71	72	8769	8773	493	56	3946	8169	604	0.943605346522	1.0	True
exc_9_beta_0.0	84.1600000001	336.98	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994444444444	True
exc_0_beta_0.05	91.6299999999	45385.52	0	null	null	null	null	null	56	null	null	null	null	null	False
