info	GenerationTime	ExecutionTime	NumVariables	NumClauses	DimensionFormula	PlanTime	NumRoles(Before)	NumRoles(After)	NumZeros(Before)	NumZeros(After)	ResultCompliance
exc_0_w_0.0	0.0499999998137	0.0800000000745	686	3388	55743	False
exc_1_w_0.0	0.0300000002608	0.0599999995902	686	3388	55743	False
exc_2_w_0.0	0.0499999998137	0.0900000007823	686	3388	55743	False
exc_3_w_0.0	0.0499999998137	0.0800000000745	686	3388	55743	False
exc_4_w_0.0	0.0400000000373	0.089999999851	686	3388	55757	False
exc_5_w_0.0	0.0400000000373	0.0800000000745	686	3388	55743	False
exc_6_w_0.0	0.0300000002608	0.0599999995902	686	3388	55757	False
exc_7_w_0.0	0.0400000000373	0.0799999991432	686	3388	55734	False
exc_8_w_0.0	0.0500000007451	0.0800000000745	686	3388	55743	False
exc_9_w_0.0	0.0300000002608	0.0599999995902	686	3388	55757	False
exc_10_w_0.0	0.0499999998137	0.0799999991432	686	3388	55743	False
exc_11_w_0.0	0.0400000000373	0.0599999995902	686	3388	55756	False
exc_0_w_0.05	0.0499999998137	3.88999999966	686	3388	55462	0	True
exc_1_w_0.05	0.0499999998137	0.19000000041	686	3388	55462	0	True
exc_2_w_0.05	0.0300000002608	0.19000000041	686	3388	55462	0	True
exc_3_w_0.05	0.0400000000373	6.45999999996	686	3388	55462	0	True
exc_4_w_0.05	0.0399999991059	5.46999999974	686	3388	55476	0	True
exc_5_w_0.05	0.0499999998137	4.53000000026	686	3388	55462	0	True
exc_6_w_0.05	0.0499999998137	4.6099999994	686	3388	55476	0	True
exc_7_w_0.05	0.0499999998137	9.0700000003	686	3388	55453	0	True
exc_8_w_0.05	0.0300000002608	8.48000000045	686	3388	55462	0	True
exc_9_w_0.05	0.0599999995902	3.52999999933	686	3388	55476	0	True
exc_10_w_0.05	0.0499999998137	5.54999999888	686	3388	55462	0	True
exc_11_w_0.05	0.0300000002608	2.24000000115	686	3388	55475	0	True
exc_0_w_0.1	0.0499999998137	170.9	686	3388	55771	0	True
exc_1_w_0.1	0.0500000007451	286.85	686	3388	55771	0	True
exc_2_w_0.1	0.0500000007451	358.910000001	686	3388	55771	0	True
exc_3_w_0.1	0.0299999993294	252.73	686	3388	55771	0	True
exc_4_w_0.1	0.0300000002608	601.43	686	3388	55785	0	True
exc_5_w_0.1	0.0399999991059	319.02	686	3388	55771	0	True
exc_6_w_0.1	0.0499999998137	847.6	686	3388	55785	0	True
exc_7_w_0.1	0.0400000000373	441.499999999	686	3388	55762	0	True
exc_8_w_0.1	0.0499999998137	193.859999999	686	3388	55771	0	True
exc_9_w_0.1	0.070000000298	144.92	686	3388	55785	0	True
exc_10_w_0.1	0.0299999993294	134.88	686	3388	55771	0	True
exc_11_w_0.1	0.0500000007451	247.32	686	3388	55784	0	True
exc_0_w_0.15	0.0400000000373	664.49	686	3388	55771	0	True
exc_1_w_0.15	0.0400000000373	630.68	686	3388	55771	0	True
exc_2_w_0.15	0.0400000000373	715.96	686	3388	55771	0	True
exc_3_w_0.15	0.0400000000373	282.140000001	686	3388	55771	0	True
exc_4_w_0.15	0.0400000000373	778.76	686	3388	55785	0	True
exc_5_w_0.15	0.0400000000373	1471.13	686	3388	55771	0	True
exc_6_w_0.15	0.0499999998137	1872.59	686	3388	55785	0	True
exc_7_w_0.15	0.0499999998137	1628.64	686	3388	55762	0	True
exc_8_w_0.15	0.089999999851	751.039999999	686	3388	55771	0	True
exc_9_w_0.15	0.0499999998137	1102.69	686	3388	55785	0	True
exc_10_w_0.15	0.0499999998137	1716.91	686	3388	55771	0	True
exc_11_w_0.15	0.0499999998137	888.25	686	3388	55784	0	True
exc_0_w_0.2	0.0400000000373	1509.29	686	3388	55771	0	True
exc_1_w_0.2	0.0300000002608	954.880000001	686	3388	55771	0	True
exc_2_w_0.2	0.0400000000373	993.73	686	3388	55771	0	True
exc_3_w_0.2	0.0500000007451	2855.54	686	3388	55771	0	True
exc_4_w_0.2	0.0499999998137	1309.5	686	3388	55785	0	True
exc_5_w_0.2	0.0400000000373	1594.03	686	3388	55771	0	True
exc_6_w_0.2	0.0499999998137	1755.92	686	3388	55785	0	True
exc_7_w_0.2	0.0600000005215	15130.08	686	3388	55762	0	True
exc_8_w_0.2	0.0699999993667	2753.38	686	3388	55771	0	True
exc_9_w_0.2	0.0499999998137	1838.78	686	3388	55785	0	True
exc_10_w_0.2	0.0800000000745	9242.96	686	3388	55771	0	True
exc_11_w_0.2	0.0699999984354	6970.22	686	3388	55784	0	True
exc_0_w_0.25	0.0699999984354	16593.23	686	3388	55771	0	True
exc_1_w_0.25	0.0399999991059	1893.43	686	3388	55771	0	True
exc_2_w_0.25	0.0500000007451	2590.33	686	3388	55771	0	True
exc_3_w_0.25	0.070000000298	3691.72	686	3388	55771	0	True
exc_4_w_0.25	0.070000000298	12188.28	686	3388	55785	0	True
exc_5_w_0.25	0.0500000007451	4281.58	686	3388	55771	0	True
exc_6_w_0.25	0.0599999986589	7099.5	686	3388	55785	0	True
exc_7_w_0.25	0.070000000298	6636.75	686	3388	55762	0	True
exc_8_w_0.25	0.0800000000745	12587.27	686	3388	55771	0	True
exc_9_w_0.25	0.070000000298	6615.71	686	3388	55785	0	True
exc_10_w_0.25	0.0699999984354	2478.73	686	3388	55771	0	True
exc_11_w_0.25	0.089999999851	10194.38	686	3388	55784	0	True
exc_0_w_0.3	0.0499999988824	5066.38	686	3388	55771	0	True
exc_1_w_0.3	0.070000000298	2623.34	686	3388	55771	0	True
exc_2_w_0.3	0.0699999984354	6672.73	686	3388	55771	0	True
exc_3_w_0.3	0.0500000007451	7048.96	686	3388	55771	0	True
exc_4_w_0.3	0.0499999988824	3233.69	686	3388	55785	0	True
exc_5_w_0.3	0.070000000298	5936.96	686	3388	55771	0	True
exc_6_w_0.3	0.0599999986589	3885.97	686	3388	55785	0	True
exc_7_w_0.3	0.0599999986589	4667.94	686	3388	55762	0	True
exc_8_w_0.3	0.089999999851	4085.77	686	3388	55771	0	True
exc_9_w_0.3	0.0799999982119	23783.16	686	3388	55785	0	True
exc_10_w_0.3	0.0599999986589	5905.22	686	3388	55771	0	True
exc_11_w_0.3	0.0600000005215	16400.34	686	3388	55784	0	True
exc_0_w_0.35	0.0600000005215	15853.59	686	3388	55771	0	True
exc_1_w_0.35	0.0600000005215	17380.44	686	3388	55771	0	True
exc_2_w_0.35	0.0500000007451	19068.41	686	3388	55771	0	True
exc_3_w_0.35	0.0500000007451	23674.35	686	3388	55771	0	True
exc_4_w_0.35	0.0499999988824	25521.09	686	3388	55785	False
exc_5_w_0.35	0.0500000007451	7362.9	686	3388	55771	0	True
exc_6_w_0.35	0.0800000000745	8099.33	686	3388	55785	0	True
exc_7_w_0.35	0.089999999851	22700.6	686	3388	55762	0	True
exc_8_w_0.35	0.0500000007451	8110.57	686	3388	55771	0	True
exc_9_w_0.35	0.0299999993294	17850.38	686	3388	55785	0	True
exc_10_w_0.35	0.0800000000745	9653.67	686	3388	55771	0	True
