info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_0.0	53.2400000002	112.64	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_1_beta_0.0	57.6000000003	83.2200000002	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_2_beta_0.0	53.02	85.74	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_3_beta_0.0	59.2699999998	92.7699999998	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_4_beta_0.0	54.4199999999	85.0299999998	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_5_beta_0.0	57.1199999999	91.0999999999	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_6_beta_0.0	63.25	96.1600000001	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	0.996527777778	True
exc_7_beta_0.0	65.25	98.72	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_8_beta_0.0	64.2400000002	97.4900000002	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_9_beta_0.0	63.6200000001	97.5	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_10_beta_0.0	69.6899999999	105.6	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_11_beta_0.0	67.8799999997	104.77	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_12_beta_0.0	70.47	101.86	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_13_beta_0.0	61.27	94.74	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_14_beta_0.0	67.5600000001	102.83	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_15_beta_0.0	72.2199999997	106.59	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_16_beta_0.0	83.46	129.0	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_17_beta_0.0	77.02	113.63	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_18_beta_0.0	69.6999999997	108.38	0	71	72	1803	1805	79	231	712	372	1433	0.0061149032992	1.0	True
exc_0_beta_0.05	69.7400000002	46433.22	0	null	null	null	null	null	231	null	null	null	null	null	False
