info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_0.0	5194.71	6550.64	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999153074885	True
exc_1_beta_0.0	5551.21	6784.81	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999354561102	True
exc_2_beta_0.0	5458.23	6601.94	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999311531842	True
exc_3_beta_0.0	5458.79	6674.57	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999354561102	True
exc_4_beta_0.0	4690.33	5693.81	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999152861446	True
exc_5_beta_0.0	4680.31	5642.43	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999144760052	True
exc_6_beta_0.0	4695.06	5677.95	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999153074885	True
exc_7_beta_0.0	4364.29	5239.12	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999144760052	True
exc_8_beta_0.0	3852.02	4745.62	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	1.0	True
exc_9_beta_0.0	3814.36	4719.11	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999426276535	True
exc_10_beta_0.0	3764.07	4658.48	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	1.0	True
exc_11_beta_0.0	3798.8	4708.67	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999153074885	True
exc_12_beta_0.0	4299.51	5230.09	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	1.0	True
exc_13_beta_0.0	4567.75	5633.96	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999211130235	True
exc_14_beta_0.0	4691.39	5696.59	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999152861446	True
exc_15_beta_0.0	4721.67	6033.51	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999153074885	True
exc_16_beta_0.0	4577.2	5503.98	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999211130235	True
exc_17_beta_0.0	4604.31	5655.86	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	1.0	True
exc_18_beta_0.0	4551.92	5637.52	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999153074885	True
exc_19_beta_0.0	4701.33	5824.62	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999354561102	True
exc_20_beta_0.0	4633.29	5608.49	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999354561102	True
exc_21_beta_0.0	4613.29	5583.62	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999354561102	True
exc_22_beta_0.0	4584.39	5603.24	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	1.0	True
exc_23_beta_0.0	4533.85	5499.32	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999152861446	True
exc_24_beta_0.0	4665.36	5655.43	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999152861446	True
exc_25_beta_0.0	4149.76	4969.14	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999354561102	True
exc_26_beta_0.0	3845.11	4652.18	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999144760052	True
exc_27_beta_0.0	3925.28	5163.97	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999153074885	True
exc_28_beta_0.0	3115.09	3751.7	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999143654138	True
exc_29_beta_0.0	3035.57	3666.01	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999143654138	True
exc_30_beta_0.0	2973.24	3601.42	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999569707401	True
exc_31_beta_0.0	2976.51	3606.35	0	580	581	99713	99715	365	709	31920	52010	47705	-1.64199142046	0.999153074885	True
