info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_0.0	0.0500000000466	0.159999999916	0	13	14	65	69	11	11	26	36	33	-0.677215189873	0.988095238095	True
exc_1_beta_0.0	0.0300000000279	0.14000000013	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_2_beta_0.0	0.0300000000279	0.14000000013	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_3_beta_0.0	0.0399999998044	0.129999999888	0	13	14	65	68	11	11	26	36	32	-0.670886075949	0.988095238095	True
exc_4_beta_0.0	0.0200000000186	0.169999999925	0	13	14	65	68	11	11	26	36	32	-0.670886075949	1.0	True
exc_5_beta_0.0	0.0300000000279	0.169999999925	0	13	14	65	68	11	11	26	36	32	-0.670886075949	1.0	True
exc_6_beta_0.0	0.0300000000279	0.170000000158	0	13	14	65	68	11	11	26	36	32	-0.670886075949	1.0	True
exc_7_beta_0.0	0.0500000000466	0.160000000149	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.973214285714	True
exc_8_beta_0.0	0.0299999997951	0.14000000013	0	13	14	65	69	11	11	26	36	33	-0.677215189873	0.988095238095	True
exc_9_beta_0.0	0.0400000000373	0.160000000149	0	13	14	65	68	11	11	26	37	31	-0.670886075949	1.0	True
exc_10_beta_0.0	0.0499999998137	0.139999999898	0	13	14	65	68	11	11	26	36	32	-0.670886075949	0.982142857143	True
exc_11_beta_0.0	0.0500000000466	0.15000000014	0	13	14	65	69	11	11	26	37	32	-0.677215189873	0.988095238095	True
exc_0_beta_0.05	0.0499999998137	0.629999999888	0	13	13	65	66	11	11	26	35	31	-0.487341772152	0.980769230769	True
exc_1_beta_0.05	0.0500000000466	0.560000000056	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_2_beta_0.05	0.0499999998137	0.520000000019	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_3_beta_0.05	0.0499999998137	0.459999999963	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_4_beta_0.05	0.0499999998137	0.530000000028	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_5_beta_0.05	0.0500000000466	0.530000000028	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_6_beta_0.05	0.0400000000373	0.649999999907	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
