info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_0.0	68.53	250.43	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	1.0	True
exc_1_beta_0.0	77.4399999999	286.85	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994791666667	True
exc_2_beta_0.0	95.26	344.47	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994212962963	True
exc_3_beta_0.0	106.97	370.26	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.99537037037	True
exc_4_beta_0.0	108.49	374.05	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994791666667	True
exc_5_beta_0.0	106.65	372.05	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.99537037037	True
exc_6_beta_0.0	106.53	371.09	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994791666667	True
exc_7_beta_0.0	107.4	376.19	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994212962963	True
exc_8_beta_0.0	107.56	370.94	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	1.0	True
exc_9_beta_0.0	105.8	371.51	0	71	72	8769	8771	493	56	3946	8167	604	0.943613427722	0.994444444444	True
exc_0_beta_0.05	106.95	37936.85	0	null	null	null	null	null	56	null	null	null	null	null	False
exc_1_beta_0.05	143.55	59058.2	0	null	null	null	null	null	56	null	null	null	null	null	False
exc_2_beta_0.05	153.66	48903.49	0	null	null	null	null	null	56	null	null	null	null	null	False
