info	GenerationTime	ExecutionTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_path_6_exc_0_timeOut_10_w_0.65	83.4400000004	202.02	73	49	1848	597	79	231	725	166	431	0.574449964514	0.581372535279	True
exc_path_4_exc_0_timeOut_10_w_0.65	83.4400000004	202.02	73	49	1848	597	79	231	725	166	431	0.574449964514	0.581372535279	True
exc_path_12_exc_0_timeOut_10_w_0.65	85.1700000009	203.87	73	49	1848	597	79	231	725	166	431	0.574449964514	0.581372535279	True
exc_path_0_exc_0_timeOut_10_w_0.65	88.5999999996	213.7	73	49	1848	597	79	231	725	166	431	0.574449964514	0.581372535279	True
exc_path_9_exc_0_timeOut_10_w_0.65	93.9400000004	233.4	73	53	1848	608	79	231	725	166	442	0.514975159688	0.578139712995	True
exc_path_7_exc_0_timeOut_10_w_0.65	95.5900000008	238.49	73	53	1848	779	79	231	725	167	612	0.490702625976	0.595751637278	True
exc_path_5_exc_0_timeOut_10_w_0.65	97.5600000005	244.09	73	49	1848	597	79	231	725	166	431	0.574449964514	0.581372535279	True
exc_path_14_exc_0_timeOut_10_w_0.65	98.4800000004	245.29	73	49	1848	597	79	231	725	166	431	0.574449964514	0.581372535279	True
exc_path_11_exc_0_timeOut_10_w_0.65	99.9900000002	248.3	73	53	1848	779	79	231	725	167	612	0.490702625976	0.595751637278	True
exc_path_1_exc_0_timeOut_10_w_0.65	101.4	250.28	73	53	1848	779	79	231	725	167	612	0.490702625976	0.595751637278	True
exc_path_10_exc_0_timeOut_10_w_0.65	102.88	252.55	73	49	1848	597	79	231	725	166	431	0.574449964514	0.581372535279	True
exc_path_8_exc_0_timeOut_10_w_0.65	108.320000001	260.52	73	49	1848	597	79	231	725	166	431	0.574449964514	0.581372535279	True
exc_path_3_exc_0_timeOut_10_w_0.65	108.370000001	260.280000001	73	53	1848	779	79	231	725	167	612	0.490702625976	0.595751637278	True
exc_path_2_exc_0_timeOut_10_w_0.65	110.99	263.060000001	73	49	1848	597	79	231	725	166	431	0.574449964514	0.581372535279	True
exc_path_13_exc_0_timeOut_10_w_0.65	110.27	262.890000001	73	53	1848	779	79	231	725	167	612	0.490702625976	0.595751637278	True
exc_path_4_exc_1_timeOut_10_w_0.65	56.0700000003	208.77	49	31	597	491	79	231	726	140	351	0.793925631564	0.613513155398	True
exc_path_6_exc_1_timeOut_10_w_0.65	55.8300000001	210.140000001	49	31	597	491	79	231	726	140	351	0.793925631564	0.613513155398	True
