b	averageAssignmentsPerRole	AverageSatisfaction
0.0	24.3950227682	99.5543293718
0.05	26.4443042617	98.8001438516
0.1	26.9409496117	98.2014634592
0.15	28.4329126806	97.604316656
0.2	28.74250832	97.0141601904
0.25	29.2952535093	96.4370550453
0.3	29.9449903428	95.8756544533
0.35	30.2634519666	95.3333164203
0.4	30.5282767807	94.8066435528
0.45	30.5463162916	94.296039596
0.5	22.1071207058	94.2971222282
0.55	16.1010787121	93.9938824613
0.6	15.9582293814	93.9110590351
0.65	15.8836001575	93.8681533615
0.7	15.559085047	93.8207262937
0.75	15.5504899706	93.7824763898
0.8	15.4959326621	93.7474273918
0.85	15.4489863386	93.7180787366
0.9	14.8050313713	93.6731704946
0.95	14.6096309891	93.6652170579
1.0	11.7309262542	93.1355124654
