b	averageAssignmentsPerRole	AverageSatisfaction
0.0	5.0641025641	99.6212121212
0.05	5.0641025641	94.5878693624
0.1	5.36018518519	90.4676616915
0.15	5.36574074074	87.331420373
0.2	5.33333333333	84.8250460405
0.25	5.25892857143	82.5676875277
0.3	4.99553571429	80.6640959726
0.35	4.83630952381	79.1283643892
0.4	4.8005952381	77.6923076923
0.45	4.8005952381	76.3620488941
0.5	4.45238095238	75.1316779533
0.55	4.10119047619	74.1387675885
0.6	4.10119047619	73.390070922
0.65	4.10119047619	72.5904860393
0.7	4.08928571429	71.8477531858
0.75	4.07738095238	71.1557296768
0.8	4.05357142857	70.4234815327
0.85	4.05357142857	69.9317829457
0.9	4.05357142857	69.2988939991
0.95	4.05357142857	68.9061116032
1.0	4.05357142857	68.4544405998
