b	averageAssignmentsPerRole	AverageSatisfaction
0.0	116.352484569	97.4754604331
0.05	114.266992365	96.3062917461
0.1	114.659866619	95.3135035668
0.15	114.841723675	94.1825501667
0.2	114.721532383	93.1307077912
0.25	114.545293792	92.0958744406
0.3	115.274244598	91.0592386816
0.35	115.132691198	90.0083690371
0.4	115.420369158	88.9799501247
0.45	115.914048145	87.9336594352
0.5	83.0947253317	86.3337723331
0.55	101.489484516	81.8843930317
0.6	102.440149915	81.4415886693
0.65	100.894377943	81.4690230489
0.7	101.818674988	81.4630511486
0.75	100.342598995	81.3752293691
0.8	100.061796376	81.5507444499
0.85	99.6390400543	81.4628591064
0.9	99.0390354137	81.1574498784
0.95	101.377919362	81.0703043792
1.0	41.1928068449	90.2834611065
