w	AvgRoleNumber	AvgAssignments	Similarity	opt
0.0	70.9473684211	1730.89473684	0.934219842026	0.038203357106
0.05	63.4736842105	1698.10526316	0.91772590608	0.18777642243
0.1	61.8421052632	1697.0	0.913947126047	0.218892888413
0.15	57.3684210526	1685.84210526	0.902255069532	0.299640042806
0.2	56.5263157895	1681.10526316	0.90252423788	0.314232902033
0.25	54.8421052632	1668.73684211	0.899237174518	0.343695510638
0.3	53.0526315789	1651.89473684	0.888927623801	0.373681965471
0.35	51.9473684211	1633.57894737	0.886088354903	0.392592814326
0.4	50.7368421053	1615.63157895	0.877446346994	0.413179971114
0.45	49.9473684211	1595.73684211	0.873857598421	0.427810247929
0.5	35.0526315789	995.736842105	0.711744662946	0.714668442755
0.55	29.4736842105	965.157894737	0.678138371196	0.808811093566
0.6	29.7894736842	948.263157895	0.671300352643	0.806027225037
0.65	30.1052631579	927.526315789	0.669753199305	0.802816796007
0.7	30.7894736842	900.210526316	0.670557371523	0.796620443473
0.75	30.8421052632	895.0	0.671491218977	0.796074146692
0.8	30.5789473684	895.368421053	0.671771929536	0.799359410897
0.85	30.7368421053	890.684210526	0.668870494788	0.797847740352
0.9	32.3157894737	856.210526316	0.671223112546	0.782573881027
0.95	32.7894736842	843.210526316	0.674798263953	0.777911649592
1.0	40.7368421053	805.578947368	0.648022821415	0.695525604855
