w	AvgRoleNumber	AvgAssignments	Similarity	opt
0.0	13.0	65.8333333333	0.99358974359	-0.486286919831
0.05	13.0	65.8333333333	0.99358974359	-0.486286919831
0.1	9.91666666667	61.5	0.944729344729	0.040611814346
0.15	8.41666666667	56.5	0.915809740028	0.264240506329
0.2	8.0	54.6666666667	0.906897702991	0.324894514768
0.25	7.83333333333	52.9166666667	0.904226762821	0.349683544304
0.3	7.33333333333	47.5833333333	0.892020566239	0.425632911392
0.35	7.16666666667	44.75	0.877396214896	0.454113924051
0.4	7.16666666667	44.1666666667	0.868643162393	0.455696202532
0.45	7.16666666667	44.1666666667	0.868643162393	0.455696202532
0.5	7.16666666667	39.6666666667	0.824510645604	0.472046413502
0.55	7.16666666667	31.3333333333	0.779008318071	0.488396624473
0.6	7.16666666667	31.3333333333	0.779008318071	0.488396624473
0.65	7.16666666667	31.1666666667	0.778166971917	0.488396624473
0.7	7.16666666667	30.5833333333	0.771031746032	0.488924050633
0.75	7.16666666667	30.25	0.774793956044	0.489451476793
0.8	7.16666666667	29.8333333333	0.766987179487	0.490506329114
0.85	7.16666666667	29.5833333333	0.767277167277	0.490506329114
0.9	7.16666666667	29.25	0.766055212149	0.490506329114
0.95	7.16666666667	29.0	0.765353136447	0.490506329114
1.0	7.16666666667	29.0	0.76924793956	0.490506329114
