w	AvgRoleNumber	AvgAssignments	Similarity
0.0	70.1	8247.3	0.912398509484	0.952536014787
0.05	70.7	8141.8	0.919566516389	0.952510957864
0.1	70.4	8136.3	0.920176953341	0.952688898331	
0.15	69.8	8092.6	0.923205824521	0.953195483944
0.2	69.9	8091.9	0.921460916277	0.953133749496
0.25	70.0	8101.3	0.923115486467	0.953089445951
0.3	69.6	8102.0	0.922912039916	0.953271017856
0.35	69.8	8115.2	0.924363220522	0.953124307757
0.4	69.6	8101.0	0.922959296285	0.953232161468
0.45	69.1	8072.6	0.922769308932	0.95356698006
0.5	62.6	5329.3	0.862986905708	0.966864943186
0.55	60.1	6453.9	0.834439895791	0.964531381072
0.6	61.6	6656.2	0.832668147855	0.963159423763
0.65	61.6	6510.2	0.830221118531	0.963417255867
0.7	61.3	6487.1	0.835375186766	0.963542540481
0.75	61.7	6458.9	0.829539742749	0.963470274864
0.8	60.9	6350.9	0.831286227447	0.964195109905
0.85	61.3	6349.4	0.828705588142	0.963944903821
0.9	62.5	6421.4	0.829662629215	0.963145624299
0.95	61.1	6439.5	0.829039667482	0.963765873924
1.0	58.3	2689.7	0.789514319478	0.978527669742
