beta	AvgRoleNumber	AvgAssignments	avgOpt	Similarity
0.0	71.6315789474	1706.05263158	0.0275881683732	0.906249936127
0.05	54.6842105263	1454.31578947	0.367305849949	0.855736422501
0.1	52.6315789474	1417.21052632	0.403486318185	0.844260887572
0.15	46.3157894737	1195.10526316	0.523898269565	0.77135470212
0.2	45.4736842105	1136.47368421	0.543927010359	0.752549327543
0.25	45.2105263158	1105.31578947	0.551868151608	0.74623219469
0.3	44.8421052632	1088.68421053	0.558971019699	0.742056902295
0.35	44.7368421053	1087.36842105	0.560475420633	0.741988855575
0.4	45.1052631579	1092.52631579	0.555079037183	0.741864634562
0.45	41.5789473684	773.052631579	0.643763846476	0.668293745469
0.5	37.2631578947	494.157894737	0.732134303335	0.621640614142
0.55	37.2631578947	492.421052632	0.732381294533	0.621497371471
0.6	37.2631578947	491.052631579	0.732575893659	0.620550008087
0.65	39.0526315789	501.052631579	0.711783725525	0.63911095819
0.7	39.1052631579	501.842105263	0.71108017484	0.638747418969
0.75	39.2105263158	500.736842105	0.710039817975	0.639036863793
0.8	39.1578947368	499.947368421	0.710743368661	0.639400403014
0.85	39.2631578947	500.421052632	0.709463505179	0.6421298082
0.9	39.2105263158	503.736842105	0.709613196815	0.638483656862
0.95	39.3157894737	502.631578947	0.70857283995	0.638773101686
1.0	46.5789473684	620.526315789	0.603070175439	0.620185248085
