beta	AvgRoleNumber	AvgAssignments	avgOpt	Similarity
0.0	69.7	7905.3	0.94842578226	0.917279131915
0.05	69.3	7888.4	0.948718725756	0.909332933339
0.1	69.2	7882.0	0.948799941815	0.909373931055
0.15	69.2	7886.1	0.948783375356	0.908587290075
0.2	69.2	7882.0	0.948799941815	0.909373931055
0.25	69.0	7885.5	0.948897320274	0.906226928178
0.3	69.0	7885.5	0.948897320274	0.906226928178
0.35	69.0	7889.7	0.948880349754	0.905681735889
0.4	69.0	7885.5	0.948897320274	0.906226928178
0.45	69.0	7885.5	0.948897320274	0.906226928178
0.5	69.0	7885.5	0.948897320274	0.906226928178
0.55	69.0	7882.8	0.948908229894	0.905509060025
0.6	68.9	7881.1	0.948970455133	0.906335840991
0.65	69.0	7885.4	0.948896916214	0.906301324054
0.7	69.0	4909.9	0.96090355896	0.831695201688
0.75	62.0	2410.3	0.974618163305	0.775150939494
0.8	62.0	2408.3	0.974626244505	0.775382201961
0.85	61.3	2633.5	0.974115916731	0.694955991377
0.9	61.5	2559.4	0.974315118309	0.694961250674
0.95	62.3	2737.7	0.973163143264	0.698883210868
1.0	61.0	2283.8	0.975675588311	0.677755256952
