info	GenerationTime	ExecutionTime	NumVariables	NumClauses	DimensionFormula	NumRoles(Before)	NumRoles(After)	NumZeros(Before)	NumZeros(After)	ResultCompliance
exc_0_w_0.0	0.0183029174805	2.09026789665	686	3388	55743	13	13	65	66	0.980769230769	True
exc_1_w_0.0	0.0291390419006	2.04037904739	686	3388	55743	13	13	65	66	1.0	True
exc_2_w_0.0	0.0178339481354	2.03351092339	686	3388	55743	13	13	65	66	1.0	True
exc_3_w_0.0	0.0170569419861	2.08518886566	686	3388	55743	13	13	65	66	1.0	True
exc_4_w_0.0	0.0187749862671	2.02510809898	686	3388	55757	13	13	65	66	1.0	True
exc_5_w_0.0	0.020112991333	2.09146213531	686	3388	55743	13	13	65	66	1.0	True
exc_6_w_0.0	0.0216419696808	2.03987002373	686	3388	55757	13	13	65	66	1.0	True
exc_7_w_0.0	0.0431680679321	2.05343103409	686	3388	55734	13	13	65	65	0.974358974359	True
exc_8_w_0.0	0.0160751342773	2.08046793938	686	3388	55743	13	13	65	66	1.0	True
exc_9_w_0.0	0.0297620296478	2.03376412392	686	3388	55757	13	13	65	66	1.0	True
exc_10_w_0.0	0.0385439395905	2.11132216454	686	3388	55743	13	13	65	65	0.967948717949	True
exc_11_w_0.0	0.016853094101	2.02364706993	686	3388	55756	13	13	65	66	1.0	True
exc_0_w_0.05	0.0156490802765	2.02619194984	686	3388	55462	13	13	65	66	0.980769230769	True
exc_1_w_0.05	0.018073797226	2.10720300674	686	3388	55462	13	13	65	66	1.0	True
exc_2_w_0.05	0.0164680480957	2.0271718502	686	3388	55462	13	13	65	66	1.0	True
exc_3_w_0.05	0.0164070129395	2.09366202354	686	3388	55462	13	13	65	66	1.0	True
exc_4_w_0.05	0.0155200958252	2.04733109474	686	3388	55476	13	13	65	66	1.0	True
exc_5_w_0.05	0.0171899795532	2.09086203575	686	3388	55462	13	13	65	66	1.0	True
exc_6_w_0.05	0.0173990726471	2.05187511444	686	3388	55476	13	13	65	66	1.0	True
exc_7_w_0.05	0.0174748897552	2.0349240303	686	3388	55453	13	13	65	65	0.974358974359	True
exc_8_w_0.05	0.0209400653839	2.10948300362	686	3388	55462	13	13	65	66	1.0	True
exc_9_w_0.05	0.0259280204773	2.03244900703	686	3388	55476	13	13	65	66	1.0	True
exc_10_w_0.05	0.0165228843689	2.09554696083	686	3388	55462	13	13	65	65	0.967948717949	True
exc_11_w_0.05	0.0182127952576	2.02607297897	686	3388	55475	13	13	65	66	1.0	True
exc_0_w_0.1	0.0173618793488	2.02542805672	686	3388	55771	13	10	65	61	0.925641025641	True
exc_1_w_0.1	0.0335309505463	2.10661792755	686	3388	55771	13	11	65	63	0.974358974359	True
exc_2_w_0.1	0.0171830654144	2.02107310295	686	3388	55771	13	10	65	61	0.955128205128	True
exc_3_w_0.1	0.0159459114075	2.08934187889	686	3388	55771	13	10	65	61	0.955128205128	True
exc_4_w_0.1	0.0152580738068	2.02820396423	686	3388	55785	13	10	65	62	0.955128205128	True
exc_5_w_0.1	0.0154898166656	2.08938479424	686	3388	55771	13	11	65	64	0.974358974359	True
exc_6_w_0.1	0.0189890861511	2.03057217598	686	3388	55785	13	10	65	61	0.955128205128	True
exc_7_w_0.1	0.0204379558563	2.02983498573	686	3388	55762	13	10	65	60	0.910897435897	True
exc_8_w_0.1	0.0159890651703	2.08508110046	686	3388	55771	13	10	65	61	0.955128205128	True
exc_9_w_0.1	0.0319559574127	2.04895806313	686	3388	55785	13	10	65	61	0.955128205128	True
exc_10_w_0.1	0.0232539176941	2.09224891663	686	3388	55771	13	11	65	63	0.932400932401	True
exc_11_w_0.1	0.124712944031	2.1326508522	686	3388	55784	13	10	65	61	0.955128205128	True
exc_0_w_0.15	0.0165219306946	2.0244178772	686	3388	55771	13	9	65	57	0.905982905983	True
exc_1_w_0.15	0.0180869102478	2.09280610085	686	3388	55771	13	10	65	62	0.955128205128	True
exc_2_w_0.15	0.0226740837097	2.03428316116	686	3388	55771	13	9	65	58	0.935897435897	True
exc_3_w_0.15	0.0157880783081	2.08924198151	686	3388	55771	13	9	65	58	0.935897435897	True
exc_4_w_0.15	0.0193948745728	2.03050804138	686	3388	55785	13	9	65	58	0.935897435897	True
exc_5_w_0.15	0.0161299705505	2.0930519104	686	3388	55771	13	9	65	58	0.935897435897	True
exc_6_w_0.15	0.0211100578308	2.04254484177	686	3388	55785	13	9	65	59	0.935897435897	True
exc_7_w_0.15	0.0164527893066	2.0509428978	686	3388	55762	13	9	65	58	0.888888888889	True
exc_8_w_0.15	0.016273021698	2.09044408798	686	3388	55771	13	8	65	53	0.916666666667	True
exc_9_w_0.15	0.0163021087646	2.01978707314	686	3388	55785	13	9	65	58	0.910968660969	True
exc_10_w_0.15	0.0170249938965	2.08215904236	686	3388	55771	13	9	65	57	0.888888888889	True
exc_11_w_0.15	0.0170259475708	2.02658700943	686	3388	55784	13	9	65	58	0.935897435897	True
exc_0_w_0.2	0.0173168182373	2.02455186844	686	3388	55771	13	8	65	52	0.885016025641	True
exc_1_w_0.2	0.0219371318817	2.09483504295	686	3388	55771	13	8	65	52	0.916666666667	True
exc_2_w_0.2	0.0198018550873	2.02931785583	686	3388	55771	13	9	65	58	0.935897435897	True
exc_3_w_0.2	0.0165071487427	2.089646101	686	3388	55771	13	8	65	55	0.904246794872	True
exc_4_w_0.2	0.0196011066437	2.02640008926	686	3388	55785	13	9	65	58	0.935897435897	True
exc_5_w_0.2	0.017030954361	2.02771401405	686	3388	55771	13	9	65	58	0.935897435897	True
exc_6_w_0.2	0.0175228118896	2.08681583405	686	3388	55785	13	9	65	59	0.935897435897	True
exc_7_w_0.2	0.0213611125946	2.03220009804	686	3388	55762	13	8	65	51	0.872596153846	True
exc_8_w_0.2	0.0181000232697	2.09057998657	686	3388	55771	13	8	65	53	0.916666666667	True
exc_9_w_0.2	0.0187320709229	2.02159714699	686	3388	55785	13	9	65	58	0.910968660969	True
exc_10_w_0.2	0.0159630775452	2.08079099655	686	3388	55771	13	8	65	51	0.866185897436	True
exc_11_w_0.2	0.0166420936584	2.02652287483	686	3388	55784	13	8	65	53	0.916666666667	True
exc_0_w_0.25	0.0167651176453	2.0247490406	686	3388	55771	13	8	65	52	0.885016025641	True
