info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_1.0	0.0699999998324	1257.97	0	13	7	65	29	11	11	26	14	15	0.506329113924	0.765842490842	True
exc_1_beta_1.0	0.0799999998417	1280.59	0	13	8	65	32	11	11	26	20	12	0.392405063291	0.696394230769	True
exc_2_beta_1.0	0.0600000000559	1066.86	0	13	8	65	35	11	11	26	23	12	0.373417721519	0.70953525641	True
exc_3_beta_1.0	0.0399999998044	921.75	0	13	7	65	30	11	11	26	16	14	0.5	0.765567765568	True
exc_4_beta_1.0	0.0600000000559	920.47	0	13	7	65	30	11	11	26	14	16	0.5	0.7836996337	True
exc_5_beta_1.0	0.0399999998044	921.45	0	13	7	65	29	11	11	26	14	15	0.506329113924	0.792124542125	True
exc_6_beta_1.0	0.059999999823	920.01	0	13	7	65	30	11	11	26	13	17	0.5	0.791758241758	True
exc_7_beta_1.0	0.0400000000373	919.69	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.774267399267	True
exc_8_beta_1.0	0.059999999823	920.04	0	13	7	65	30	11	11	26	15	15	0.5	0.796245421245	True
exc_9_beta_1.0	0.0600000000559	920.22	0	13	7	65	29	11	11	26	14	15	0.506329113924	0.750457875458	True
exc_10_beta_1.0	0.0400000000373	917.56	0	13	7	65	30	11	11	26	14	16	0.5	0.773901098901	True
exc_11_beta_1.0	0.0600000000559	918.48	0	13	7	65	28	11	11	26	15	13	0.512658227848	0.719322344322	True
exc_0_beta_0.95	0.0600000000559	921.3	0	13	7	65	30	11	11	26	15	15	0.5	0.765567765568	True
exc_1_beta_0.95	0.0600000000559	920.34	0	13	8	65	30	11	11	26	15	15	0.405063291139	0.810176282051	True
exc_2_beta_0.95	0.059999999823	920.01	0	13	8	65	30	11	11	26	15	15	0.405063291139	0.810176282051	True
exc_3_beta_0.95	0.0600000000559	920.52	0	13	7	65	28	11	11	26	16	12	0.512658227848	0.692765567766	True
exc_4_beta_0.95	0.0600000000559	920.22	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.774267399267	True
exc_5_beta_0.95	0.0399999998044	921.0	0	13	7	65	29	11	11	26	14	15	0.506329113924	0.792124542125	True
exc_6_beta_0.95	0.059999999823	920.57	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.774267399267	True
exc_7_beta_0.95	0.0600000000559	920.85	0	13	7	65	30	11	11	26	15	15	0.5	0.728754578755	True
exc_8_beta_0.95	0.059999999823	917.42	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.747710622711	True
exc_9_beta_0.95	0.0600000000559	919.87	0	13	7	65	29	11	11	26	12	17	0.506329113924	0.757326007326	True
exc_10_beta_0.95	0.300000000047	920.99	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.722802197802	True
exc_11_beta_0.95	0.0600000000559	920.38	0	13	7	65	28	11	11	26	13	15	0.512658227848	0.759157509158	True
exc_0_beta_0.9	0.0600000000559	917.33	0	13	7	65	30	11	11	26	15	15	0.5	0.765567765568	True
exc_1_beta_0.9	0.0600000000559	920.45	0	13	8	65	30	11	11	26	15	15	0.405063291139	0.810176282051	True
exc_2_beta_0.9	0.0600000000559	920.17	0	13	8	65	30	11	11	26	15	15	0.405063291139	0.810176282051	True
exc_3_beta_0.9	0.0699999998324	920.38	0	13	7	65	28	11	11	26	16	12	0.512658227848	0.692765567766	True
exc_4_beta_0.9	0.0600000000559	920.43	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.774267399267	True
exc_5_beta_0.9	0.0400000000373	920.45	0	13	7	65	29	11	11	26	14	15	0.506329113924	0.792124542125	True
exc_6_beta_0.9	0.0700000000652	920.3	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.774267399267	True
exc_7_beta_0.9	0.0700000000652	918.01	0	13	7	65	30	11	11	26	15	15	0.5	0.728754578755	True
exc_8_beta_0.9	0.0699999998324	920.29	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.747710622711	True
exc_9_beta_0.9	0.059999999823	918.69	0	13	7	65	29	11	11	26	12	17	0.506329113924	0.757326007326	True
exc_10_beta_0.9	0.620000000112	921.14	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.722802197802	True
exc_11_beta_0.9	0.0800000000745	920.84	0	13	7	65	28	11	11	26	13	15	0.512658227848	0.759157509158	True
exc_0_beta_0.85	0.0800000000745	921.21	0	13	7	65	30	11	11	26	15	15	0.5	0.765567765568	True
exc_1_beta_0.85	0.0799999998417	920.89	0	13	8	65	30	11	11	26	15	15	0.405063291139	0.810176282051	True
exc_2_beta_0.85	0.0399999998044	920.46	0	13	8	65	30	11	11	26	15	15	0.405063291139	0.810176282051	True
exc_3_beta_0.85	0.0700000000652	921.17	0	13	7	65	28	11	11	26	16	12	0.512658227848	0.692765567766	True
exc_4_beta_0.85	0.0400000000373	920.94	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.774267399267	True
exc_5_beta_0.85	0.0399999998044	920.93	0	13	7	65	29	11	11	26	14	15	0.506329113924	0.792124542125	True
exc_6_beta_0.85	0.0600000000559	921.06	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.774267399267	True
exc_7_beta_0.85	0.0600000000559	921.02	0	13	7	65	30	11	11	26	15	15	0.5	0.728754578755	True
exc_8_beta_0.85	0.0400000000373	920.7	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.747710622711	True
exc_9_beta_0.85	0.059999999823	921.4	0	13	7	65	29	11	11	26	12	17	0.506329113924	0.757326007326	True
exc_10_beta_0.85	0.0400000000373	920.77	0	13	7	65	29	11	11	26	15	14	0.506329113924	0.722802197802	True
exc_11_beta_0.85	0.059999999823	920.67	0	13	7	65	28	11	11	26	13	15	0.512658227848	0.759157509158	True
exc_0_beta_0.8	0.0400000000373	920.72	0	13	7	65	30	11	11	26	15	15	0.5	0.765567765568	True
exc_1_beta_0.8	0.0600000000559	920.59	0	13	8	65	30	11	11	26	15	15	0.405063291139	0.810176282051	True
exc_2_beta_0.8	0.0400000000373	920.47	0	13	8	65	30	11	11	26	15	15	0.405063291139	0.810176282051	True
