info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_0_beta_0.0	0.0600000000559	0.100000000093	0	13	14	65	68	11	11	26	36	32	-0.670886075949	0.982142857143	True
exc_1_beta_0.0	0.0600000000559	0.0800000000745	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_2_beta_0.0	0.0600000000559	0.0800000000745	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_3_beta_0.0	0.0600000000559	0.0800000000745	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_4_beta_0.0	0.0600000000559	0.070000000298	0	13	14	65	68	11	11	26	37	31	-0.670886075949	1.0	True
exc_5_beta_0.0	0.0600000000559	0.0800000000745	0	13	14	65	68	11	11	26	37	31	-0.670886075949	1.0	True
exc_6_beta_0.0	0.0600000000559	0.089999999851	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_7_beta_0.0	0.0699999998324	0.089999999851	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.973214285714	True
exc_8_beta_0.0	0.0600000000559	0.0800000000745	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_9_beta_0.0	0.0599999995902	0.0799999996088	0	13	14	65	68	11	11	26	36	32	-0.670886075949	1.0	True
exc_10_beta_0.0	0.0600000000559	0.0800000005402	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_11_beta_0.0	0.0599999995902	0.089999999851	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_0_beta_0.05	0.0400000000373	0.089999999851	0	13	13	65	66	11	11	26	35	31	-0.487341772152	0.980769230769	True
exc_1_beta_0.05	0.0400000000373	0.0900000003166	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_2_beta_0.05	0.0499999998137	0.0699999998324	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_3_beta_0.05	0.0600000000559	0.0800000000745	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_4_beta_0.05	0.0600000000559	0.089999999851	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_5_beta_0.05	0.0600000000559	0.0999999996275	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_6_beta_0.05	0.0400000000373	0.0800000000745	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_7_beta_0.05	0.0400000000373	0.089999999851	0	13	13	65	65	11	11	26	34	31	-0.481012658228	0.974358974359	True
exc_8_beta_0.05	0.0499999998137	0.0699999998324	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
