inputProb	users	minimumTimeout	GenerationTime	ExecutionTime	NumVariables	NumClauses	initialRoles	initialAss
89	5	1.0	0.0	7.8599999994	0	0	407111	4	23
85	21	2.0	0.0	14.2199999988	0	0	5464848	14	409
81	37	4.0	0.0	28.25	0	0	12574075	19	667
77	53	13.0	0.0	79.4900000021	0	0	30522262	32	972
73	69	40.0	0.0	201.82	0	0	60697809	48	1679
69	85	45.0	74.5500000007	301.500000002	171158	3849616	87866622	57	1842
65	101	90.0	0.0	457.560000001	0	0	126764824	69	2475
61	117	320.0	0.0	1630.31	0	0	178777750	81	3535
57	133	1000.0	0.0	7257.1	0	0	244169211	94	5376
53	149	2800.0	0.0	19740.86	0	0	330445508	110	7607
49	165	4600.0	0.0	27959.89	0	0	370007701	109	7600
45	181	7000.0	0.0	33863.05	0	0	417508438	110	8282
41	197	14000.0	0.0	70852.6	0	0	567793405	129	11201
