timeout	AvgRoleNumber	AvgAssignments	Similarity
7	50.7368421053	1182.52631579	0.620020036094
10	37.2105263158	877.052631579	0.651162570414
20	33.9473684211	884.789473684	0.655394501307
30	32.8421052632	896.105263158	0.660332531861
40	32.3157894737	893.894736842	0.660134353674
50	32.4736842105	886.789473684	0.658540579016
60	32.6315789474	873.052631579	0.659164455816
70	33.0	861.263157895	0.656691310581
80	32.5263157895	869.263157895	0.659092075181
90	32.8421052632	860.052631579	0.660554944036
100	32.7894736842	856.368421053	0.666191398832
110	33.0	849.526315789	0.667131533366
120	33.7368421053	831.947368421	0.663941305994
130	33.3684210526	841.0	0.669002338031
140	33.0526315789	842.842105263	0.668523086508
150	32.7368421053	845.631578947	0.670800200088
160	32.1578947368	858.578947368	0.672331273111
170	31.9473684211	861.263157895	0.671697609538
180	32.1052631579	854.789473684	0.677027473391
